2025/08/07 22:09:25 main.go:42: 🚀 Server läuft auf Port 8080
2025/08/07 22:09:25 main.go:43: http://localhost:8080
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 49.273µs | Statuscode: 200 | Antwortgröße: 173 Bytes
2025/08/07 22:11:31 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:31 CEST | Methode: GET | URL: /assets/js/pricing.js | RemoteAddr: [::1]:38672
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 101.685µs | Statuscode: 200 | Antwortgröße: 2041 Bytes
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 98.125µs | Statuscode: 200 | Antwortgröße: 1288 Bytes
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 66.643µs | Statuscode: 200 | Antwortgröße: 894 Bytes
2025/08/07 22:11:31 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:31 CEST | Methode: GET | URL: /app/me | RemoteAddr: [::1]:38672
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 27.631µs | Statuscode: 401 | Antwortgröße: 18 Bytes
2025/08/07 22:11:31 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:31 CEST | Methode: GET | URL: /app/routes | RemoteAddr: [::1]:38694
2025/08/07 22:11:31 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:31 CEST | Methode: GET | URL: /app/me | RemoteAddr: [::1]:38656
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 37.332µs | Statuscode: 401 | Antwortgröße: 18 Bytes
2025/08/07 22:11:31 middleware.go:73: Endzeit: Thu, 07 Aug 2025 22:11:31 CEST | Dauer: 328.807µs | Statuscode: 200 | Antwortgröße: 421 Bytes
2025/08/07 22:11:31 middleware.go:61: Startzeit: Thu, 07 Aug 2025 22:11:31 CEST | Methode: GET | URL: /assets/favicon.ico | RemoteAddr: [::1]:38694
